"","rno","homeeven","pricheck","Magmovies","notbuypr","homebody","savecoup","adwaste","tentruor"
"1",1,6,2,7,6,5,3,5,5
"2",2,5,7,5,6,6,6,4,5
"3",3,5,3,4,5,6,6,7,3
"4",4,3,2,2,5,1,3,2,1
"5",5,4,2,3,2,2,1,3,1.5
"6",6,2,6,2,4,3,7,5,1.25
"7",7,1,3,3,6,2,5,7,0.5
"8",8,3,5,1,4,2,5,6,1.25
"9",9,7,3,6,3,5,2,4,4.5
"10",10,6,3,3,4,4,6,5,3
"11",11,6,6,2,6,4,4,7,5
"12",12,3,2,2,7,6,1,6,3
"13",13,5,7,6,2,2,6,1,1.5
"14",14,6,3,5,5,7,2,3,1.25
"15",15,3,2,4,3,2,6,5,0.5
"16",16,2,7,5,1,4,5,2,0.75
"17",17,3,2,2,7,2,4,6,1
"18",18,6,4,5,4,7,3,3,2
"19",19,7,2,6,2,5,2,1,0.5
"20",20,5,6,6,3,4,5,3,3
"21",21,2,3,3,2,1,2,6,1
"22",22,3,4,2,1,4,3,6,1.25
"23",23,2,6,3,2,1,5,3,1.25
"24",24,6,5,7,4,5,7,2,4
"25",25,7,6,5,4,6,5,3,4
